USER_ID,CREATED_AT,COUNTRY,DEVICE_TYPE,SOURCE,BRANCH,AGE,GENDER
01KFQ2QCQSPD5Y01W9RVM6TEMV,2026-01-24 04:17:16.359 Z,BN,desktop,customer.io,moses,55+,female
01KFQ2EA2DKRCT3SVK7GP66AKK,2026-01-24 04:16:22.824 Z,MK,ios,tiktok,moses,45-54,female
01KFPN3ZB0Q8P2E60BZSJK2F0S,2026-01-24 04:04:30.847 Z,CN,desktop,meta,mary,55+,female
01KFQ26SKEX452G0TJ7W3ZMQWG,2026-01-24 04:03:17.455 Z,IS,ios,meta,abraham,55+,male
01KFQ1CT61TPD92VRHDNYE96T1,2026-01-24 03:57:49.914 Z,ES,smart tv,axon,david,45-54,female
01KFQ22SJDD2TGRK74020PEFXN,2026-01-24 03:56:37.449 Z,SI,ios,meta,abraham,45-54,female
01KFQ293JDXXD1V7NDK2SHH8MZ,2026-01-24 04:00:02.578 Z,CH,desktop,google,abraham,18-34,female
01KFQ17HN4D0GD88HP7K5K6FCW,2026-01-24 03:47:10.726 Z,MA,ios,axon,deborah,35-44,female
01KFQ081SZB96MND8ADXKJV461,2026-01-24 03:51:59.339 Z,T1,ios,google_demgen,david,55+,female
01KFQ0HVDVAQQV80T82EY1NRRT,2026-01-24 03:33:54.945 Z,AE,tablet,google_demgen,abraham,35-44,female
01KFQ18CAJCNZZN88HS07RGQ94,2026-01-24 03:41:18.540 Z,CA,mobile,meta,david,18-34,male
01KFQ17M3J2HQ4PW4TJ0MJNJXY,2026-01-24 03:44:02.631 Z,PK,ios,axon,abraham,18-34,male
01KFQ148KWD2FA6K9HTBXNG112,2026-01-24 03:43:27.383 Z,SG,desktop,organic,mary,18-34,male
01KFQ1ET7BPM5H6QNZRVEHPDF2,2026-01-24 03:45:19.195 Z,CF,ios,meta,moses,35-44,male
01KFQ0H9GXG6R34Z0MZTMXH373,2026-01-24 03:44:38.404 Z,HT,android,meta,esther,18-34,female
01KFPZVXPF3649F2303G94KNMH,2026-01-24 03:19:28.107 Z,LA,ios,tiktok,abraham,18-34,female
01KFHRGZCSTPR7KVEZVSP9ZSQP,2026-01-24 03:26:19.694 Z,ZM,ios,meta,ruth,35-44,male
01KFPZX4Y0PTBH6HCWHQNP5T4D,2026-01-24 03:21:28.184 Z,KG,desktop,meta,moses,35-44,male
01KFPZB7J77Y3RTCWXKYY7SJ6W,2026-01-24 03:09:22.605 Z,AE,desktop,meta,abraham,18-34,female
01KFPZDRC5SYSEEBW5P98FBW13,2026-01-24 03:13:46.185 Z,NO,android,tiktok,david,18-34,female
01KFPZ0WG6N1TSSHN6AJP8ZVKT,2026-01-24 03:13:03.110 Z,TN,desktop,google,david,55+,female
01KFPZ9Z882XDN933AW9C3X9SH,2026-01-24 03:08:35.888 Z,IQ,android,meta,mary,55+,male
01KFPZKDAHPBJED2EJ48VGQ5H1,2026-01-24 03:13:55.291 Z,MN,smart tv,organic,deborah,35-44,male
01KFPZ6RVC2S3HAP3FETZY76QQ,2026-01-24 03:06:30.707 Z,KR,desktop,google_search,moses,45-54,female
01KFPYNE6MAT3ZNPWN8DWSDC3X,2026-01-24 03:01:17.029 Z,TW,desktop,meta,abraham,35-44,female
01KFPYJG6Y5VXF0SJNBSV3KA79,2026-01-24 02:56:27.815 Z,VE,desktop,google_demgen,abraham,35-44,female
01KFPVTWTDHP22A8NDJN1JWR5R,2026-01-24 02:09:40.511 Z,ER,ios,google_display,deborah,18-34,male
01KFPSWA4AH1C7PT76Z58SH4M7,2026-01-24 02:01:01.917 Z,CO,mobile,facebook,david,55+,female
01KFPVRZRP85BPKM097XFBNCKG,2026-01-24 02:08:08.124 Z,IL,tablet,meta,paul,45-54,female
01KFPVQ35SQ17QC93NE82BWDEE,2026-01-24 02:09:42.260 Z,FJ,mobile,meta,mary,45-54,female
01KFPVCKH2D3WMEKXTYNRZF310,2026-01-24 02:03:43.063 Z,US,desktop,meta,abraham,55+,male
01KFPVJCTSXPPM82GGF4K48Y1E,2026-01-24 02:05:07.577 Z,FO,ios,organic,deborah,35-44,female
01KFEFE4CWEPSMC21YH5RZM44D,2026-01-24 01:47:42.196 Z,VC,ios,meta,abraham,35-44,female
01KFPTPRQQDPMH5J1PEV5HQENT,2026-01-24 01:49:54.745 Z,GY,desktop,google,moses,55+,male
01KFPTQSRDRVVWYJAWQN86XC6X,2026-01-24 01:48:00.027 Z,AG,desktop,organic,moses,55+,male
01KFPV2Z05C1ENZVCTZP97QHNZ,2026-01-24 01:56:13.789 Z,WS,desktop,instagram_profile,abraham,35-44,female
01KFPVD8CG84NJHWWWFBDBSYMF,2026-01-24 01:59:15.343 Z,ER,desktop,meta,paul,35-44,female
01KFPTA1VFZXHD925PQGX7GTZH,2026-01-24 01:48:29.274 Z,KY,android,google_search,moses,35-44,female
01KFPV4FK3821VDC53W01X2RB9,2026-01-24 01:56:24.300 Z,CG,ios,meta,paul,35-44,female
01KFPV3QKNE0R2JYHV3T3H5HEG,2026-01-24 01:54:45.350 Z,KE,ios,axon,paul,35-44,male
01KFPQA22D8CVK16M6P55TEE6C,2026-01-24 00:50:01.235 Z,PT,android,axon,paul,45-54,female
01KFPNSYV5FMDBA802M9C6BR25,2026-01-24 00:50:44.229 Z,ML,ios,google_demgen,abraham,35-44,female
01KFPKF3R7MPND9BZDA3XW46DT,2026-01-23 23:47:05.224 Z,IS,desktop,meta,david,45-54,female
01KEYDT17QHJF51WAGNCKME9C7,2026-01-23 23:55:48.574 Z,CZ,ios,ActiveCampaign,paul,18-34,female
01KFPM3XRHPYDNAC73SGF5AKGJ,2026-01-23 23:53:07.011 Z,AE,desktop,google,abraham,35-44,female
01KFPH41HGV5SYN9NJ61FK1ES6,2026-01-23 23:01:23.173 Z,MK,android,meta,ruth,45-54,female
01KFPHH90EV5YN46T2ZV94APZM,2026-01-23 23:10:21.802 Z,US,desktop,meta,mary,45-54,male
01KFPHM92B07AAFTSDP3248P27,2026-01-23 23:14:24.977 Z,CK,desktop,google,mary,45-54,male
01KFPH5XYRPEWFPAK16NCC9K5W,2026-01-23 23:01:30.784 Z,UZ,ios,instagram_profile,deborah,55+,female
01KFPDCV15J64K80XA2PWV8ME7,2026-01-23 23:02:01.417 Z,KH,android,meta,abraham,45-54,female
01KFPE9SMEXZDX2F482CQAMWM9,2026-01-23 23:09:35.145 Z,SG,desktop,google_search,abraham,35-44,female
01KFPE9FD3K5HHMCHT746V1RTV,2026-01-23 22:10:55.343 Z,IQ,android,meta,abraham,45-54,female
01KFPDVJ5QB4X9WVWZKQHZVPBQ,2026-01-23 22:06:31.039 Z,UY,ios,tiktok,david,55+,female
01KFPDW1BRV4BAM4XYKRDDM4KE,2026-01-23 22:05:07.095 Z,AX,ios,instagram_profile,ruth,18-34,male
01KFPDGB6PC01QBHGKFX4MH03Z,2026-01-23 22:02:03.662 Z,ZM,ios,tiktok,esther,18-34,female
01KFPD9JNQJYDYDDVRJZ7TT8YA,2026-01-23 21:57:04.661 Z,SV,ios,customer.io,esther,35-44,female
01KFPDAF6FJRTV5MTSAP74Q6NC,2026-01-23 21:55:30.320 Z,NR,ios,axon,abraham,35-44,male
01KFPC8GXQDKBSWJKBDYPSDRR6,2026-01-23 21:45:32.954 Z,MK,ios,meta,mary,55+,female
01KAW6Y1DZ9G65F6XXHAY2MTSZ,2026-01-23 21:46:02.396 Z,KZ,android,google_display,ruth,45-54,female
01KFPCJN9ZTC2BS5236AXT009Z,2026-01-23 21:58:39.811 Z,LC,ios,meta,paul,35-44,female
01KFPCG5H8CBG71D8367KNAXJP,2026-01-23 21:39:36.774 Z,GR,android,email,esther,45-54,male
01KFPCHD6PREFS0XGQHRRM6J7A,2026-01-23 21:44:36.772 Z,RU,desktop,meta,abraham,55+,female
01KFPC16A0ASC1TQRB4T14180Q,2026-01-23 21:38:35.748 Z,SA,tablet,organic,abraham,35-44,male
01KFPCHVBAPEJGSCQ1AR82DNEJ,2026-01-23 21:41:06.651 Z,NP,ios,meta,ruth,45-54,female
01KFPCG2THQ1GWP7V8CBG02FN0,2026-01-23 21:38:26.542 Z,SM,desktop,google,abraham,55+,female
01KFPCBS35GD26185PV9TNCWYH,2026-01-23 21:35:58.100 Z,CI,ios,meta,paul,35-44,female
01KFPC9ZT91B4XRB1F40AAEKKF,2026-01-23 21:36:51.373 Z,ZW,android,organic,abraham,35-44,female
01KFP9DRM5PQHJ5CYPXWNVBBJP,2026-01-23 20:45:44.720 Z,PW,ios,axon,ruth,35-44,male
01KFP9FDWQ6MR058AYMCJAVKPR,2026-01-23 20:48:38.698 Z,LY,android,meta,abraham,45-54,male
01KFP90CENW2XMPT70YZHGHX63,2026-01-23 20:49:02.549 Z,NF,ios,axon,deborah,55+,female
01KFP94HB011MRDF94DJR87RH1,2026-01-23 20:40:43.359 Z,KI,desktop,google_demgen,david,35-44,female
01KFP8RCX88ZH8YNCMW2CS3M09,2026-01-23 20:37:56.186 Z,GE,ios,google,abraham,55+,female
01KFP8GJFG0N01W049XE9DMYKT,2026-01-23 20:33:15.754 Z,SG,desktop,organic,esther,35-44,male
01KFP940NVF01988KETMBDVHBW,2026-01-23 20:43:54.935 Z,KM,ios,meta,mary,45-54,female
01KFP270KG5C53C1VKV03CJXYQ,2026-01-23 20:43:47.704 Z,BF,ios,meta,moses,18-34,female
01KFP8WKT6MWWVBQ3350JT0ZDN,2026-01-23 20:42:16.915 Z,MV,android,email,abraham,55+,female
01KFP7C63KFPFR1ZR2WH1G9VPC,2026-01-23 20:14:48.659 Z,RW,desktop,meta,deborah,35-44,male
01K4RXDGRNGYC43BC6Z1AEFS42,2026-01-23 20:08:00.656 Z,GR,ios,google,deborah,35-44,female
01KFNY960AK48PXR358SCH59YV,2026-01-23 20:08:53.193 Z,AT,mobile,axon,abraham,45-54,male
01K5VDGDTN17G1CGYTBP9N2M33,2026-01-23 19:00:26.341 Z,TH,desktop,meta,esther,55+,female
01KFP2VJ4YE2WJRE8P7QDMWQ1A,2026-01-23 18:51:10.287 Z,MO,desktop,google,abraham,18-34,male
01KFP2DWYB85V6V9CA7GS2BV0A,2026-01-23 18:48:48.367 Z,SX,ios,organic,abraham,18-34,male
01KFP29MR15FRNV8Z5G8RY5F1B,2026-01-23 18:42:45.906 Z,AE,ios,email,abraham,18-34,female
01KFKG83B9D3K1EA09XJF9BR85,2026-01-23 18:35:54.727 Z,SV,android,email,abraham,35-44,female
01KFP29Y9FF8CQ1FSNYMP6B23B,2026-01-23 18:44:43.243 Z,GY,android,axon,paul,35-44,female
01KFP1VP8Z17P8DJ1FYZ3DPPBD,2026-01-23 18:36:00.173 Z,CA,android,google_search,mary,35-44,male
01KFP1J4BKG1FKYY8XFMN2GCMH,2026-01-23 18:37:19.649 Z,RU,desktop,meta,esther,55+,female
01KFDKDYJ6QH6PGHDS6N63JR3S,2026-01-23 18:43:33.382 Z,PM,ios,organic,mary,55+,female
01KFF317EXN5CMHE5JK9VGARP9,2026-01-23 18:42:55.163 Z,FM,mobile,meta,moses,18-34,female
01KFP20RFEZG6DG40RJ6Z17FST,2026-01-23 18:42:38.934 Z,CF,desktop,meta,mary,55+,female
01KFP1CF1XD94Q9WCNV3JQN5TZ,2026-01-23 18:31:05.993 Z,BT,mobile,organic,mary,45-54,male
01KFP28T99PCHF0YEST0AMS7PX,2026-01-23 18:42:22.570 Z,CD,mobile,axon,abraham,35-44,female
01KFP1SDJRC7EHGAGABJGRRH31,2026-01-23 18:33:23.318 Z,BY,ios,meta,mary,55+,female
01KFP0S16S9A8A0Z9AZD780XYR,2026-01-23 18:31:53.774 Z,PA,desktop,meta,esther,45-54,female
01KFP1Z1K1VQA2VYJBGN1X2D7P,2026-01-23 18:38:24.801 Z,ZA,tablet,instagram_profile,deborah,45-54,female
01KFP1747F92WTCPXY0SG9W4X5,2026-01-23 18:28:15.727 Z,EC,desktop,google_demgen,paul,55+,female
01KFP163APG3YM29MJY31QP6JH,2026-01-23 18:21:23.005 Z,MX,ios,google_search,moses,18-34,female
01KFP16MW0TNE2WG22BWPFC76E,2026-01-23 18:25:31.310 Z,MR,ios,google_display,esther,45-54,female
01KFP0YZ4AJATD6DQ19NNEHF5S,2026-01-23 18:18:35.010 Z,CH,ios,organic,deborah,35-44,male
01KFP09PK4W39PMBH2X2WFEJG8,2026-01-23 18:17:26.813 Z,VE,ios,google_demgen,moses,45-54,female
01KFP0PXWF4WKJ0EKTBZEQW829,2026-01-23 18:26:58.528 Z,RW,desktop,instagram_profile,david,45-54,female
01KFP0B5XM14NCYFM4Y08FSYG7,2026-01-23 18:09:29.138 Z,VI,ios,meta,esther,45-54,male
01KFP0ANJ6NZTSHHHPRXB96GNC,2026-01-23 18:13:22.173 Z,CH,ios,meta,abraham,45-54,female
01KFNZZFZK47PE9WFNWM67YRH8,2026-01-23 18:09:08.092 Z,BW,tablet,meta,paul,35-44,male
01KFP08ZMZATGGG55E5Z9QXSCB,2026-01-23 18:07:15.706 Z,KE,ios,meta,abraham,18-34,female
01KFP0C4N4VKK73136T3SKF9FP,2026-01-23 18:03:01.805 Z,RW,android,meta,david,18-34,female
01KFP02DYNK27S0GQ218JR6ARS,2026-01-23 18:04:51.668 Z,SE,ios,organic,deborah,45-54,male
01KFP05ZP806ZWW7EN9HASFQ4H,2026-01-23 18:09:07.830 Z,SZ,smart tv,meta,esther,35-44,female
01KEK91DCAR1ES0ENPKBT5TGWK,2026-01-23 18:11:58.912 Z,CA,ios,axon,paul,18-34,female
01KFP0BVGZZM9FB4KHR7XTQBTR,2026-01-23 18:10:31.842 Z,DK,android,meta,esther,35-44,female
01KFP0EDV22FR0YHYE7HXXGZY5,2026-01-23 18:14:30.036 Z,GF,android,meta,esther,45-54,female
01KFNZQK440EYYRC4JBEJWJ5J0,2026-01-23 17:58:59.041 Z,PS,mobile,email,paul,18-34,female
01KFNZAJCFQ98K1H9EH62VD8E8,2026-01-23 17:55:50.975 Z,ST,ios,meta,moses,18-34,male
01KFNZDAJV8VX8442ET5G94TAX,2026-01-23 17:55:38.952 Z,ME,android,axon,mary,55+,female
01KFNZW1D2JHHBA0P7PJMKT487,2026-01-23 17:59:11.662 Z,TG,ios,google_search,deborah,18-34,male
01KFNZ7MJE6F1C9YHWFKHZFC18,2026-01-23 17:49:41.352 Z,SK,ios,meta,esther,45-54,male
01KFNZ5PM33ACA9ZTAZQ74X6ZW,2026-01-23 17:47:46.231 Z,NE,mobile,meta,mary,35-44,male
01KFNZY96WMMYZSYXJF90RQQ6H,2026-01-23 18:00:16.948 Z,BI,desktop,axon,paul,45-54,female
01KFC9V2FK0Z21DPM47W9ZNDDK,2026-01-23 17:51:30.333 Z,GY,android,meta,deborah,35-44,male
01KFNYVSGN0MQ493MQKJXKREFT,2026-01-23 17:43:02.762 Z,BB,desktop,organic,esther,55+,female
01KFNYQMRE59HPFHBCFM9JDTJB,2026-01-23 17:43:16.092 Z,PM,desktop,meta,esther,55+,male
01KFNX7W11X24ZENKTBMGHQRTE,2026-01-23 17:34:33.573 Z,LU,ios,email,deborah,18-34,female
01KFNZCEXZ0M87CWYHYXHNSFKK,2026-01-23 17:45:42.959 Z,MC,mobile,axon,mary,35-44,female
01KFNYPCS1KW1K48415WZ1VHWX,2026-01-23 17:37:34.403 Z,NE,ios,organic,david,55+,female
01KFNY6MCFFEM9R63E1ESTJQ1H,2026-01-23 17:32:05.400 Z,TW,desktop,meta,mary,18-34,female
01KFNY6ZMT373SRAEW95JJT2K2,2026-01-23 17:31:29.216 Z,MX,ios,organic,paul,55+,female
01KEKM7R5EK2XMGTXRPBQW0357,2026-01-10 09:41:53.052 Z,NI,mobile,customer.io,abraham,55+,male
01KEKKJ39GVDTA9W2MD7XX8A3P,2026-01-10 09:32:22.414 Z,LK,ios,meta,deborah,55+,female
01KEKME51TV75M0F1ZNWNFPZ7Y,2026-01-10 09:44:50.645 Z,SK,android,google,david,18-34,female
01KEKHHBKRPZCF17RH1WKAXH19,2026-01-10 09:33:59.100 Z,MU,android,google_display,esther,45-54,female
01KEKKTPKT25FPPKHD9F7B50CX,2026-01-10 09:40:39.803 Z,GY,ios,axon,paul,45-54,male
01KEKMG9EQZF7QPXWEBN60W9MT,2026-01-10 09:52:49.679 Z,ET,desktop,axon,mary,35-44,female
01KEKMTY3H0W88B6HDX2TCJGW3,2026-01-10 09:59:14.982 Z,LK,android,email,deborah,18-34,female
01KEKN7B4V2EQMWECBZ28AR3HR,2026-01-10 09:59:07.163 Z,BJ,tablet,meta,abraham,55+,male
01KEKK68Z7TJ4T60FD2ERJSWPN,2026-01-10 09:47:57.009 Z,LS,ios,meta,deborah,55+,female
01KEKMYTC1299TZGVAX614MVAF,2026-01-10 09:53:02.000 Z,NI,mobile,meta,abraham,18-34,female
01KEKMP1725KTZN46TC9TYDA5A,2026-01-10 09:53:30.325 Z,SX,ios,meta,moses,35-44,female
01KEKMWSWMGGFKJN37NCEZYRQT,2026-01-10 09:54:29.624 Z,UA,ios,meta,ruth,45-54,male
01KEKMSE20XD8KJTT7YNVVDZ2N,2026-01-10 09:50:08.804 Z,ER,android,organic,david,45-54,female
01KEKMH0TJYF6RJH5F22EGFTNA,2026-01-10 09:50:05.258 Z,PN,mobile,organic,esther,35-44,male
01KEGTEJR89R16AQZ9S72WGR8H,2026-01-10 09:51:35.283 Z,AL,ios,meta,abraham,45-54,female
01KEJ60YBNK57CGBW6C1AZBT08,2026-01-10 09:52:03.435 Z,BA,android,organic,esther,35-44,male
01KEKNFMWNQRSY63N6VFF3RFQH,2026-01-10 10:06:50.169 Z,NZ,android,organic,paul,18-34,male
01KEKN2J4FT17V1VG1A1700YEN,2026-01-10 10:07:31.424 Z,CU,desktop,meta,ruth,18-34,female
01KEKNAX0KXJ8DEBH0MDX90HRQ,2026-01-10 10:01:38.055 Z,MV,desktop,organic,deborah,18-34,male
01KEKNZQB44KVTFH2YAK0NQ3V1,2026-01-10 10:13:14.551 Z,CA,mobile,google_search,ruth,55+,male
01KEKPRSGMB1DGME3EEXNRDQ9Z,2026-01-10 10:28:30.797 Z,TW,desktop,meta,david,18-34,female
01KEKPVYVPM0KTXK8M04AR2FA3,2026-01-10 10:27:24.664 Z,GE,android,google_search,abraham,45-54,female
01KEKN9W95M0RBW16ERJ4EK4VW,2026-01-10 10:21:01.266 Z,WS,desktop,facebook,paul,35-44,male
01KEKPRT6K1J1TVK4YH0XHTKA9,2026-01-10 10:30:00.884 Z,MC,desktop,meta,moses,45-54,male
01KEKQJARJM7A6JJP670XB5CH0,2026-01-10 10:41:10.728 Z,AE,desktop,meta,deborah,45-54,female
01KEKPWAYK15EP0DX8BTAS9KRP,2026-01-10 10:39:13.579 Z,ME,mobile,google_demgen,ruth,55+,female
01KEKQGC0NEG9Q5Q9NDF56E29X,2026-01-10 10:41:40.533 Z,BL,smart tv,meta,deborah,45-54,female
01KEKQ2KM9B37EQ2PWKFPHGG62,2026-01-10 10:31:44.361 Z,GY,android,google_search,esther,18-34,female
01KEKQ98761BVGXHBWJQRKXE8H,2026-01-10 10:38:01.474 Z,KH,desktop,meta,abraham,45-54,female
01KEKQDFTQ7GJ3RKEA9Q9C3MPX,2026-01-10 10:36:13.050 Z,BT,desktop,email,deborah,55+,female
01KEKPWGRCAHEHE0QDK9SSZZVJ,2026-01-10 10:41:15.372 Z,CN,mobile,meta,ruth,35-44,female
01KEKQE17798M52Z7V7SBW4GGA,2026-01-10 10:37:38.846 Z,TV,tablet,google_demgen,david,18-34,male
01KEKPR1J0J0T38404X7ERYP16,2026-01-10 10:40:57.613 Z,LC,desktop,meta,moses,45-54,male
01KEKRDZE772BH693T1FWYA3F9,2026-01-10 10:53:41.714 Z,SL,desktop,organic,mary,18-34,female
01KEKQXWWQPX8XA703D3GFCHY2,2026-01-10 10:53:08.412 Z,AL,android,tiktok,esther,18-34,male
01KEKRFMS0EFG0GBS42FFMRWF5,2026-01-10 10:54:53.410 Z,AD,ios,google,moses,35-44,female
01KEKRJ70AQYMAMZEWH9HJQZGS,2026-01-10 10:59:41.711 Z,MT,android,meta,ruth,18-34,female
01KEKR2W5S4EM21ARRPEQ6JA82,2026-01-10 10:48:07.894 Z,NG,ios,customer.io,david,45-54,female
01KEKR0PEM02NWTX468C65YBHD,2026-01-10 10:52:21.522 Z,GE,ios,meta,esther,55+,female
